date,year,month,ym,sido_name,y_hat,base_daily,w_today,y_day_hat,risk_score,risk_level
2024-09-01,2024,9,2024-09,대구,1699.3188211381023,56.64396070460341,0.95,53.81176266937324,31.38863724535121,Moderate
2024-09-01,2024,9,2024-09,대전,1794.5845749380344,59.81948583126781,0.95,56.82851153970442,36.75739454945862,Moderate
2024-09-01,2024,9,2024-09,부산,1794.5845749380344,59.81948583126781,0.95,56.82851153970442,36.75739454945862,Moderate
2024-09-01,2024,9,2024-09,서울,1794.5845749380344,59.81948583126781,0.95,56.82851153970442,36.75739454945862,Moderate
2024-09-01,2024,9,2024-09,세종,1699.3188211381023,56.64396070460341,0.95,53.81176266937324,31.38863724535121,Moderate
2024-09-01,2024,9,2024-09,울산,1794.5845749380344,59.81948583126781,0.95,56.82851153970442,36.75739454945862,Moderate
2024-09-01,2024,9,2024-09,인천,1794.5845749380344,59.81948583126781,0.95,56.82851153970442,36.75739454945862,Moderate
2024-09-01,2024,9,2024-09,전북,1794.5845749380344,59.81948583126781,0.95,56.82851153970442,36.75739454945862,Moderate
2024-09-01,2024,9,2024-09,제주,1794.5845749380344,59.81948583126781,0.95,56.82851153970442,36.75739454945862,Moderate
2024-09-01,2024,9,2024-09,충남,1794.5845749380344,59.81948583126781,0.95,56.82851153970442,36.75739454945862,Moderate
2024-09-01,2024,9,2024-09,충북,1794.5845749380344,59.81948583126781,0.95,56.82851153970442,36.75739454945862,Moderate
2024-10-01,2024,10,2024-10,강원,2351.5980852932344,75.85800275139465,0.95,72.06510261382492,63.873194748598735,High
2024-10-01,2024,10,2024-10,경기,1699.3188211381023,54.81673616574523,0.95,52.07589935745797,28.299408000440927,Moderate
2024-10-01,2024,10,2024-10,경남,1699.3188211381023,54.81673616574523,0.95,52.07589935745797,28.299408000440927,Moderate
2024-10-01,2024,10,2024-10,경북,1699.3188211381023,54.81673616574523,0.95,52.07589935745797,28.299408000440927,Moderate
2024-10-01,2024,10,2024-10,광주,1434.7887012663634,46.28350649246334,0.95,43.96933116784017,13.872553446095026,Low
2024-10-01,2024,10,2024-10,대구,1434.7887012663634,46.28350649246334,0.95,43.96933116784017,13.872553446095026,Low
2024-10-01,2024,10,2024-10,대전,1699.3188211381023,54.81673616574523,0.95,52.07589935745797,28.299408000440927,Moderate
2024-10-01,2024,10,2024-10,부산,1699.3188211381023,54.81673616574523,0.95,52.07589935745797,28.299408000440927,Moderate
2024-10-01,2024,10,2024-10,서울,1699.3188211381023,54.81673616574523,0.95,52.07589935745797,28.299408000440927,Moderate
2024-10-01,2024,10,2024-10,세종,1434.7887012663634,46.28350649246334,0.95,43.96933116784017,13.872553446095026,Low
2024-10-01,2024,10,2024-10,울산,1434.7887012663634,46.28350649246334,0.95,43.96933116784017,13.872553446095026,Low
