year,month,ym,sido_name,pm25_mean,pm10_mean,pm25_p90,pm10_p90,pm25_alert_days,pm10_alert_days
2020,12,2020-12,경남,17.455453149001535,27.18509984639017,27.333333333333332,40.04761904761905,1.0,0.0
2021,1,2021-01,경남,16.937788018433178,32.86251920122888,27.928571428571427,62.095238095238095,0.0,0.0
2021,2,2021-02,경남,19.2984693877551,32.85884353741497,31.335714285714285,48.147619047619045,1.0,0.0
2021,3,2021-03,경남,19.298003072196618,52.8794162826421,27.023809523809526,69.76190476190476,1.0,2.0
2021,4,2021-04,경남,14.470731707317077,33.576422764227644,22.153658536585368,56.90731707317074,0.0,0.0
2021,5,2021-05,경남,14.942396313364057,34.76881720430107,21.547619047619047,62.785714285714285,1.0,1.0
2021,6,2021-06,경남,14.669918699186995,24.815447154471546,21.246341463414634,36.546341463414635,0.0,0.0
2021,7,2021-07,경남,9.896434634974533,17.47707979626486,14.421052631578947,23.894736842105264,0.0,0.0
2021,8,2021-08,경남,9.474772539288669,17.197684036393714,12.871794871794872,23.41025641025641,0.0,0.0
2021,9,2021-09,경남,8.871212121212121,16.562878787878788,13.870454545454546,23.047727272727272,0.0,0.0
2021,10,2021-10,경남,13.688416422287391,22.61070381231672,20.022727272727273,31.386363636363637,0.0,0.0
2021,11,2021-11,경남,17.96893939393939,31.520454545454545,28.05227272727273,49.872727272727275,2.0,0.0
2021,12,2021-12,경남,17.28592375366569,28.07111436950147,28.113636363636363,40.88636363636363,1.0,0.0
2022,1,2022-01,경남,19.7133431085044,29.547653958944284,35.77272727272727,48.20454545454545,4.0,0.0
2022,2,2022-02,경남,17.986201298701296,28.261363636363637,28.11818181818182,41.47954545454546,2.0,0.0
2022,3,2022-03,경남,18.37243401759531,33.90175953079179,32.88636363636363,53.79545454545455,2.0,0.0
2022,4,2022-04,경남,14.534848484848483,28.934090909090912,20.67954545454546,40.89772727272727,0.0,0.0
2022,5,2022-05,경남,16.167888563049853,29.246334310850447,24.818181818181817,41.59090909090909,0.0,0.0
2022,6,2022-06,경남,,18.317424242424245,,26.265909090909094,,0.0
2022,7,2022-07,경남,11.828445747800583,,15.204545454545455,,0.0,
2022,8,2022-08,경남,9.54618768328446,17.801319648093838,15.0,23.704545454545453,0.0,0.0
2022,9,2022-09,경남,9.715909090909092,18.083333333333332,13.559090909090912,24.98409090909091,0.0,0.0
2022,10,2022-10,경남,11.373476702508961,,17.77777777777778,,0.0,
2022,11,2022-11,경남,19.08888888888889,31.46814814814815,28.784444444444446,43.63777777777778,0.0,0.0
2022,12,2022-12,경남,16.261648745519715,28.51971326164875,23.88888888888889,37.15555555555556,0.0,1.0
2023,1,2023-01,경남,19.470967741935482,35.100358422939074,34.13333333333333,66.02222222222223,3.0,0.0
2023,2,2023-02,경남,20.92936507936508,31.49603174603174,28.85777777777778,43.08888888888889,1.0,0.0
2023,3,2023-03,경남,21.938351254480285,50.10681003584229,33.82222222222222,81.02222222222223,3.0,0.0
2023,4,2023-04,경남,17.47826086956521,56.181159420289866,28.630434782608695,100.8760869565218,0.0,3.0
2023,5,2023-05,경남,15.540837336993825,30.901853122855186,22.617021276595743,42.255319148936174,0.0,1.0
2023,6,2023-06,경남,12.746099290780139,20.81631205673758,20.129787234042553,28.71489361702128,0.0,0.0
2023,7,2023-07,경남,12.573095401509953,20.447494852436517,20.574468085106382,29.29787234042553,0.0,0.0
2023,8,2023-08,경남,11.70266479663394,18.779803646563817,16.304347826086957,24.543478260869566,0.0,0.0
2023,9,2023-09,경남,10.280141843971629,17.384397163120568,15.710638297872343,22.608510638297876,0.0,0.0
2023,10,2023-10,경남,12.904598490048045,22.00549073438572,17.72340425531915,28.361702127659573,0.0,0.0
2023,11,2023-11,경남,13.443262411347519,22.124822695035462,20.019148936170215,31.08085106382979,0.0,0.0
2023,12,2023-12,경남,17.10226492793411,27.618393960192176,28.02127659574468,50.46808510638298,2.0,0.0
2024,1,2024-01,경남,16.551075268817204,25.37432795698925,25.354166666666668,37.416666666666664,0.0,0.0
2024,2,2024-02,경남,14.269345238095237,21.638392857142858,25.83125,37.81458333333334,2.0,0.0
2024,3,2024-03,경남,16.919354838709676,35.3212365591398,24.645833333333332,68.02083333333333,1.0,0.0
2024,4,2024-04,경남,19.266666666666662,46.38541666666666,29.39166666666668,67.63750000000014,3.0,3.0
2024,5,2024-05,경남,13.394489247311828,25.76075268817204,18.5625,38.1875,0.0,0.0
2024,6,2024-06,경남,14.800694444444444,24.432638888888885,22.33125,37.51250000000001,0.0,0.0
2024,7,2024-07,경남,8.233198924731182,,13.041666666666666,,0.0,
2024,8,2024-08,경남,12.813172043010754,20.247311827956985,19.395833333333332,26.75,0.0,0.0
2024,9,2024-09,경남,9.549999999999999,16.792361111111113,15.166666666666668,22.900000000000002,0.0,0.0
2024,10,2024-10,경남,9.65255376344086,17.6875,13.833333333333334,23.916666666666668,0.0,0.0
2024,11,2024-11,경남,11.797916666666664,19.840277777777775,17.100000000000005,28.268750000000004,0.0,0.0
2024,12,2024-12,경남,13.256720430107528,22.436155913978496,19.291666666666668,30.958333333333332,0.0,0.0
2025,1,2025-01,경남,,30.069220430107524,,56.583333333333336,,0.0
2025,2,2025-02,경남,,25.03206997084548,,40.32448979591837,,0.0
2025,3,2025-03,경남,,34.12376563528637,,55.40816326530612,,1.0
2025,4,2025-04,경남,,32.4530612244898,,46.632653061224495,,0.0
2025,5,2025-05,경남,,24.980250164581964,,34.0,,0.0
2025,6,2025-06,경남,,24.260544217687077,,35.2530612244898,,0.0
2025,7,2025-07,경남,,20.66030283080974,,29.510204081632654,,0.0
2025,8,2025-08,경남,,20.300855826201445,,26.53061224489796,,0.0
2025,9,2025-09,경남,,18.504761904761903,,23.077551020408166,,0.0
2025,10,2025-10,경남,,18.672152732060564,,24.244897959183675,,0.0
2025,11,2025-11,경남,,29.8578231292517,,38.00816326530613,,0.0
2025,12,2025-12,경남,,1.6221198156682026,,0.0,,0.0
2018,1,2018-01,경북,21.35314091680815,45.706281833616295,36.526315789473685,74.26315789473684,4.0,1.0
2018,2,2018-02,경북,20.218045112781958,50.87781954887219,30.315789473684216,73.50526315789473,3.0,0.0
2018,3,2018-03,경북,19.87436332767403,45.575551782682524,31.473684210526315,72.78947368421052,2.0,0.0
2018,4,2018-04,경북,18.864912280701752,61.26315789473685,27.700000000000003,90.66842105263157,0.0,1.0
2018,5,2018-05,경북,15.349745331069611,46.541595925297116,23.36842105263158,72.52631578947368,0.0,0.0
2018,6,2018-06,경북,15.256140350877194,36.87719298245613,25.60526315789474,54.02105263157896,0.0,0.0
2018,7,2018-07,경북,13.611205432937183,29.06960950764007,25.0,46.94736842105263,0.0,0.0
2018,8,2018-08,경북,8.98641765704584,21.853989813242787,13.736842105263158,29.36842105263158,0.0,0.0
2018,9,2018-09,경북,9.866666666666667,26.178947368421056,15.284210526315796,41.82105263157895,0.0,0.0
2018,10,2018-10,경북,14.129032258064518,33.00169779286927,25.42105263157895,54.05263157894737,1.0,0.0
2018,11,2018-11,경북,22.4,54.06666666666667,28.994736842105265,70.33157894736848,0.0,3.0
2018,12,2018-12,경북,17.58243727598566,,30.055555555555557,,3.0,
2019,1,2019-01,경북,23.920203735144316,53.541595925297116,40.73684210526316,80.42105263157895,6.0,1.0
2019,2,2019-02,경북,24.58603896103896,47.71103896103896,36.581818181818186,70.2409090909091,4.0,0.0
2019,3,2019-03,경북,26.994134897360706,54.44281524926685,52.59090909090909,93.0,6.0,3.0
2019,4,2019-04,경북,13.781818181818181,39.599999999999994,19.022727272727273,58.50909090909092,0.0,0.0
2019,5,2019-05,경북,17.475455820476864,42.0953716690042,25.565217391304348,57.391304347826086,0.0,0.0
2019,6,2019-06,경북,12.774358974358972,26.51025641025641,21.238461538461543,39.6423076923077,0.0,0.0
2019,7,2019-07,경북,10.879330943847071,22.332138590203108,17.14814814814815,31.11111111111111,0.0,0.0
2019,8,2019-08,경북,11.795698924731182,22.41505376344086,16.033333333333335,28.666666666666668,0.0,0.0
2019,9,2019-09,경북,8.683333333333334,19.775555555555556,13.863333333333335,25.236666666666668,0.0,0.0
2019,10,2019-10,경북,9.007284079084288,23.42455775234131,13.516129032258064,31.096774193548388,0.0,0.0
2019,11,2019-11,경북,12.86129032258064,32.37741935483871,19.835483870967742,44.94193548387098,0.0,0.0
2019,12,2019-12,경북,16.525201612903224,31.556451612903224,26.875,45.0,0.0,0.0
2020,1,2020-01,경북,17.387096774193544,30.783681214421257,26.323529411764707,44.8235294117647,0.0,0.0
2020,2,2020-02,경북,16.302631578947366,30.970864661654133,25.38684210526316,47.586842105263166,1.0,0.0
2020,3,2020-03,경북,16.013709677419357,33.928225806451614,22.6,47.05,0.0,0.0
2020,4,2020-04,경북,16.670833333333334,37.5325,24.02,56.615,0.0,0.0
2020,5,2020-05,경북,15.516129032258064,33.24838709677419,24.075,48.325,0.0,0.0
2020,6,2020-06,경북,15.59,31.174999999999997,25.477500000000006,54.29750000000001,0.0,0.0
2020,7,2020-07,경북,9.239516129032257,17.58145161290323,14.775,24.4,0.0,0.0
2020,8,2020-08,경북,13.609756097560975,23.588512981904017,23.975609756097562,35.4390243902439,0.0,0.0
2020,9,2020-09,경북,11.93008130081301,22.453658536585362,21.275609756097563,33.69756097560976,0.0,0.0
2020,10,2020-10,경북,15.825000000000001,30.26532258064516,20.9,38.775,1.0,0.0
2020,11,2020-11,경북,20.400000000000002,34.86583333333333,30.6125,52.757500000000014,2.0,0.0
2020,12,2020-12,경북,21.44138473642801,34.233674272226594,35.292682926829265,55.24390243902439,4.0,0.0
2021,1,2021-01,경북,19.059795436664043,36.126671911880415,29.75609756097561,58.8780487804878,2.0,0.0
2021,2,2021-02,경북,21.730897009966778,38.43106312292359,35.72790697674419,54.56511627906977,4.0,0.0
2021,3,2021-03,경북,20.508797653958943,56.51979472140762,26.954545454545453,92.4090909090909,3.0,2.0
2021,4,2021-04,경북,16.400757575757574,41.21590909090909,24.000000000000004,66.18409090909091,0.0,1.0
2021,5,2021-05,경북,16.188844086021504,40.520161290322584,22.875,82.25,1.0,2.0
2021,6,2021-06,경북,16.94285714285714,30.481632653061222,25.044897959183675,44.34489795918368,0.0,0.0
2021,7,2021-07,경북,11.053324555628704,20.402896642527974,15.306122448979592,26.653061224489797,0.0,0.0
2021,8,2021-08,경북,11.173798551678736,22.790651744568798,16.06122448979592,28.93877551020408,0.0,0.0
2021,9,2021-09,경북,8.687755102040818,17.909523809523808,12.320408163265313,23.038775510204086,0.0,0.0
2021,10,2021-10,경북,13.31402238314681,24.573403554970373,21.46938775510204,35.6530612244898,0.0,0.0
2021,11,2021-11,경북,20.20799999999999,37.09733333333334,29.622000000000007,53.60800000000001,2.0,0.0
2021,12,2021-12,경북,19.033548387096776,33.474193548387106,32.62,47.34,3.0,0.0
2022,1,2022-01,경북,22.081593927893742,34.280834914611,39.64705882352941,55.03921568627451,4.0,0.0
2022,2,2022-02,경북,20.73949579831933,34.13795518207282,33.78823529411765,50.94117647058824,3.0,0.0
2022,3,2022-03,경북,21.919038583175208,42.955091714105,39.09803921568628,73.31372549019608,5.0,1.0
2022,4,2022-04,경북,16.056862745098037,35.27058823529412,21.519607843137255,47.68627450980393,0.0,0.0
2022,5,2022-05,경북,15.985452245414296,32.33080328905755,22.41176470588235,44.0,0.0,0.0
2022,6,2022-06,경북,11.950980392156866,22.39084967320262,18.680392156862748,34.0078431372549,0.0,0.0
2022,7,2022-07,경북,10.645161290322578,19.28020240354206,14.588235294117647,23.92156862745098,0.0,0.0
